#,Company,Symbol,Weight,Price,Change
389,Hasbro Inc.,HAS,0.048434,95.66,-1.66
390,Hologic Inc.,HOLX,0.048369,40.97,-0.81
391,Extra Space Storage Inc.,EXR,0.048277,91.38,0.63
392,Universal Health Services Inc. Class B,UHS,0.04816,130.08,-1.41
393,Cabot Oil & Gas Corporation,COG,0.048069,25.39,-0.22
394,Viacom Inc. Class B,VIAB,0.048007,32.57,0.47
395,Seagate Technology PLC,STX,0.047873,41.89,-1.14
396,F5 Networks Inc.,FFIV,0.047456,178.91,-4.33
397,FMC Corporation,FMC,0.047387,82.23,-1.34
398,Albemarle Corporation,ALB,0.047237,98.07,-4.31
399,TechnipFMC Plc,FTI,0.047192,24.77,-0.88
400,Regency Centers Corporation,REG,0.047159,65.03,-0.22
401,Keysight Technologies Inc,KEYS,0.047053,58.15,-1.04
402,Varian Medical Systems Inc.,VAR,0.046947,117.93,-1.44
403,UDR Inc.,UDR,0.046306,40.5,-0.34
404,Discovery Inc. Class C,DISCK,0.045555,29.21,-0.5
405,Baker Hughes a GE Company Class A,BHGE,0.045552,23.64,-1.87
406,Fortinet Inc.,FTNT,0.045157,73.75,-0.98
407,HollyFrontier Corporation,HFC,0.044641,63.44,-1.26
408,United Rentals Inc.,URI,0.044593,119.22,-7.45
409,Raymond James Financial Inc.,RJF,0.044481,78.0,-1.5
410,Kansas City Southern,KSU,0.044478,99.57,-2.85
411,Nasdaq Inc.,NDAQ,0.044274,90.0,-0.4
412,Alliant Energy Corp,LNT,0.043742,45.19,0.58
413,AES Corporation,AES,0.043492,15.7,0.18
414,Copart Inc.,CPRT,0.043288,49.27,-1.0
415,Duke Realty Corporation,DRE,0.043233,28.44,-0.14
416,Juniper Networks Inc.,JNPR,0.043089,28.39,-0.73
417,Norwegian Cruise Line Holdings Ltd.,NCLH,0.042406,48.57,-0.18
418,Alliance Data Systems Corporation,ADS,0.042046,203.7,-4.56
419,Pinnacle West Capital Corporation,PNW,0.041957,88.86,0.39
420,Zions Bancorporation N.A.,ZION,0.041486,49.5,-0.66
421,Huntington Ingalls Industries Inc.,HII,0.041185,214.13,-9.52
422,Wynn Resorts Limited,WYNN,0.041004,99.53,1.21
423,Masco Corporation,MAS,0.040591,30.58,-0.45
424,NiSource Inc,NI,0.040496,26.1,-0.06
425,EQT Corporation,EQT,0.040398,34.64,-1.26
426,Franklin Resources Inc.,BEN,0.040192,30.98,0.11
427,Nielsen Holdings Plc,NLSN,0.040183,26.44,-0.02
428,Federal Realty Investment Trust,FRT,0.039918,128.46,-0.2
429,PerkinElmer Inc.,PKI,0.039682,82.07,-2.99
430,PVH Corp.,PVH,0.039648,119.84,-1.57
431,J.B. Hunt Transport Services Inc.,JBHT,0.03921,106.2,-0.52
432,Jacobs Engineering Group Inc.,JEC,0.039088,75.1,-2.15
433,Interpublic Group of Companies Inc.,IPG,0.038925,23.97,0.13
434,Iron Mountain Inc.,IRM,0.038892,32.5,-0.27
435,Snap-on Incorporated,SNA,0.038843,158.5,-2.99
436,Torchmark Corporation,TMK,0.038391,85.88,-1.04
437,Packaging Corporation of America,PKG,0.038373,94.89,-1.11
438,Arconic Inc.,ARNC,0.038042,20.08,-0.69
439,Everest Re Group Ltd.,RE,0.037893,213.83,-7.39
440,DaVita Inc.,DVA,0.037635,68.2,-1.5
441,LKQ Corporation,LKQ,0.03759,27.23,-0.5
442,Newell Brands Inc,NWL,0.036819,20.12,0.22
443,Cimarex Energy Co.,XEC,0.036523,86.19,-4.13
444,Invesco Ltd.,IVZ,0.03634,20.5,-0.38
